musteri_id;recency_gun;frequency;monetary;ort_sepet;son_islem_ay;son_islem_yil;dominant_kanal;sehir;segment_mevcut;kayip_riski
MUS-10418;30;8;9401.71;1175.21;12;2024;Mağaza;İstanbul;sadık;0
MUS-11976;18;14;62669.0;4476.36;12;2024;Online;Gaziantep;şampiyon;0
MUS-12327;127;5;5017.82;1003.56;8;2024;Online;İstanbul;sadık;0
MUS-11241;55;7;8441.74;1205.96;11;2024;Mağaza;Antalya;sadık;0
MUS-10536;36;3;974.21;324.74;11;2024;Online;Ankara;riskli;1
MUS-12229;37;9;42073.56;4674.84;11;2024;Telefon;Konya;şampiyon;0
MUS-10857;27;4;1943.31;485.83;12;2024;Online;Bursa;riskli;1
MUS-11248;40;8;10833.91;1354.24;11;2024;Mağaza;Gaziantep;sadık;0
MUS-10574;1;15;66883.14;4458.88;12;2024;Online;Bursa;şampiyon;0
MUS-11119;21;1;450.7;450.7;12;2024;Telefon;Antalya;riskli;1
MUS-10148;23;6;6401.65;1066.94;12;2024;Mağaza;Bursa;sadık;0
MUS-12176;75;3;1336.51;445.5;10;2024;Online;İzmir;sadık;0
MUS-12297;6;6;28527.96;4754.66;12;2024;Online;Gaziantep;şampiyon;0
MUS-11388;14;13;65030.57;5002.35;12;2024;Online;Adana;şampiyon;0
MUS-12368;5;15;73511.86;4900.79;12;2024;Online;Ankara;şampiyon;0
MUS-10738;124;3;2032.14;677.38;8;2024;Mağaza;İzmir;riskli;1
MUS-10685;0;9;44834.47;4981.61;12;2024;Mağaza;Kayseri;şampiyon;0
MUS-10094;137;2;431.06;215.53;8;2024;Online;Konya;kayıp;1
MUS-12021;2;13;62139.07;4779.93;12;2024;Mağaza;Adana;şampiyon;0
MUS-10712;116;2;215.25;107.62;9;2024;Mağaza;İzmir;riskli;1
MUS-12385;38;6;7009.21;1168.2;11;2024;Online;Adana;sadık;0
MUS-12314;26;10;43285.78;4328.58;12;2024;Mağaza;Mersin;şampiyon;0
MUS-10672;36;10;57431.41;5743.14;11;2024;Online;Mersin;şampiyon;0
MUS-11386;67;3;833.43;277.81;10;2024;Online;İzmir;kayıp;1
MUS-10646;20;7;5819.99;831.43;12;2024;Mağaza;Kayseri;sadık;0
MUS-11050;4;7;11468.93;1638.42;12;2024;Online;İstanbul;sadık;0
MUS-11961;417;3;655.04;218.35;11;2023;Online;Ankara;kayıp;1
MUS-11624;219;5;2569.67;513.93;5;2024;Mağaza;İstanbul;riskli;1
MUS-10463;132;5;1874.94;374.99;8;2024;Mağaza;Bursa;riskli;1
MUS-10193;102;2;354.46;177.23;9;2024;Telefon;Konya;kayıp;1
MUS-12068;100;3;1070.78;356.93;9;2024;Telefon;Kayseri;riskli;1
MUS-11919;43;12;56238.17;4686.51;11;2024;Mağaza;Adana;şampiyon;0
