musteri_yasi,sehir,cinsiyet,aylik_gelir,toplam_harcama,siparis_sayisi,ortalama_sepet,musteri_id,churn
23.0,Sehir_23,Erkek,8049.274796945513,14535.327035411476,7.0,258.18505401758347,USR000000,0
62.0,Sehir_4,Kadin,89714.01458332426,8163.29559533449,16.0,254.97315168623413,USR000001,1
55.0,Sehir_75,Kadin,93543.31673408621,,14.0,131.26039426626136,USR000002,0
43.0,Sehir_81,Erkek,24847.354037085737,4153.7124088766095,9.0,264.57086183979277,USR000003,1
,Sehir_92,Erkek,55106.378151272685,2244.5129777589095,32.0,447.3996668419297,USR000004,0
66.0,Sehir_114,Erkek,30525.602013047635,5039.701356914629,1.0,349.41028405850363,USR000005,1
,Sehir_59,Kadin,44069.65441216521,30333.60104905412,19.0,425.67606927603714,USR000006,0
57.0,Sehir_99,Kadin,14504.184332083716,10866.724009121603,6.0,275.5877003832727,USR000007,1
29.0,Sehir_85,Kadin,59754.160465533125,25599.110836950073,31.0,485.42689861728945,USR000008,1
23.0,Sehir_33,Erkek,9769.805293496334,15052.242241255757,37.0,273.7457186984697,USR000009,0
48.0,Sehir_101,Erkek,8400.57865649298,3886.656485158063,23.0,33.716404921115895,USR000010,0
73.0,Sehir_6,Kadin,32940.47245965969,1119.9400882886146,22.0,397.4935689389446,USR000011,0
59.0,Sehir_71,Erkek,30668.930224603588,2664.5081550307627,23.0,465.10771535430206,USR000012,1
61.0,Sehir_112,Kadin,45154.32673297408,3621.0417029978175,10.0,266.114148137116,USR000013,1
58.0,Sehir_79,Erkek,21598.820977574756,3300.075267903302,19.0,529.8809401112621,USR000014,0
62.0,Sehir_112,Erkek,164152.85782692386,,,222.3961718442755,USR000015,1
47.0,Sehir_6,Kadin,41294.474948097486,25970.229979985477,3.0,450.6090219301,USR000016,1
25.0,Sehir_63,Kadin,43752.560807383474,115180.47998730972,39.0,611.7163913235725,USR000017,0
65.0,Sehir_93,Kadin,42522.435167583586,3240.6674626777003,9.0,355.50964765573246,USR000018,0
43.0,Sehir_77,Erkek,81010.00099917135,55101.816794661296,6.0,316.02753709654615,USR000019,0
46.0,Sehir_105,Kadin,57573.28468774418,54694.6209782577,14.0,334.1492486788903,USR000020,1
39.0,Sehir_55,Kadin,51720.749266903804,6132.044459378861,14.0,594.2443080427696,USR000021,1
28.0,Sehir_81,Kadin,65433.345915904734,14303.599192015521,16.0,410.4173860686766,USR000022,0
70.0,Sehir_50,Kadin,8436.377509016049,35913.90764251308,,671.6304015828007,USR000023,1
62.0,Sehir_104,Kadin,8695.160448080693,7549.906460324185,,391.8877081916031,USR000024,1
54.0,Sehir_14,Kadin,34171.696878185656,6879.6968492144715,34.0,251.9305010144384,USR000025,1
,Sehir_30,Erkek,31003.67093933745,3816.9047361738853,8.0,262.4739597180185,USR000026,0
